               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/Bishop_mAP,    metrics/King_mAP,    metrics/Pawn_mAP,    metrics/Rook_mAP,  metrics/Knight_mAP,   metrics/Queen_mAP,metrics/Bishop_mAP_50, metrics/King_mAP_50, metrics/Pawn_mAP_50, metrics/Rook_mAP_50,metrics/Knight_mAP_50,metrics/Queen_mAP_50
                  20,            0.077069,             0.12839,            0.042978,             0.38251,            0.074212,            0.046181,             0.01662,            0.066795,             0.12557,            0.050896,            0.062288,           0.0032882,           0.0032882,                   0,            0.077757,            0.021966,                   0,                   0,                   0,                   0,             0.21328,            0.063805,                   0,                   0,                   0
                  21,            0.069074,             0.11033,             0.04282,             0.54222,             0.13393,            0.078055,            0.023478,            0.067696,             0.10612,             0.05045,            0.060406,            0.003406,            0.003406,                   0,            0.074494,             0.05619,                   0,                   0,            0.010185,                   0,             0.15848,             0.25893,                   0,                   0,            0.050925
                  22,            0.074341,             0.11755,            0.042413,            0.030935,             0.27231,            0.056751,            0.019329,            0.073603,            0.094101,            0.049819,             0.05852,           0.0035199,           0.0035199,                   0,            0.034281,            0.045142,                   0,                   0,             0.03655,                   0,             0.12399,             0.10259,                   0,                   0,             0.11393
                  23,            0.076087,              0.1052,            0.040929,             0.91219,             0.10204,             0.12768,            0.021206,            0.077975,            0.095285,             0.04926,             0.05663,           0.0036298,           0.0036298,            0.012382,            0.012483,            0.076064,                   0,                   0,            0.026308,            0.061909,            0.061334,             0.48527,                   0,                   0,             0.15756
                  24,            0.072993,            0.094634,            0.044759,             0.90327,            0.071429,              0.1347,            0.043005,            0.061047,            0.074241,            0.048905,            0.054736,           0.0037358,           0.0037358,                   0,            0.044724,             0.12519,                   0,            0.022585,            0.065528,                   0,             0.17198,             0.43269,                   0,            0.055974,             0.14755
                  25,            0.069084,            0.080985,            0.039849,             0.76235,             0.32313,             0.19312,            0.060447,            0.070788,            0.066556,            0.048293,            0.052838,           0.0038378,           0.0038378,             0.12957,            0.067262,            0.062654,                   0,            0.016122,             0.08707,              0.4975,             0.15586,              0.2246,                   0,            0.060488,             0.22028
                  26,             0.06639,             0.10503,            0.040665,             0.95338,             0.14626,             0.21851,            0.070067,            0.058653,            0.054145,            0.047752,            0.050936,           0.0039358,           0.0039358,             0.06654,             0.05321,             0.23035,                   0,            0.037797,            0.032501,             0.10291,             0.18322,              0.8636,                   0,             0.08467,            0.076623
                  27,            0.071946,             0.10801,            0.041411,             0.95338,             0.14626,             0.21851,            0.070067,            0.058653,            0.054145,            0.047752,             0.04903,           0.0040299,           0.0040299,             0.06654,             0.05321,             0.23035,                   0,            0.037797,            0.032501,             0.10291,             0.18322,              0.8636,                   0,             0.08467,            0.076623
                  28,            0.065817,            0.076988,            0.042652,             0.96264,             0.16484,             0.26456,            0.096868,            0.066726,            0.050935,             0.04736,             0.04712,             0.00412,             0.00412,            0.028276,            0.099794,             0.37954,                   0,            0.019897,            0.053706,             0.26901,             0.20269,             0.95104,                   0,            0.051626,             0.11298
                  29,            0.066329,              0.0824,             0.04019,             0.95305,             0.16667,             0.23967,            0.098224,            0.068947,            0.051215,            0.046826,            0.045206,           0.0042061,           0.0042061,             0.13059,            0.055574,             0.32377,                   0,            0.045777,            0.033633,             0.20947,             0.14933,             0.90489,                   0,            0.095287,            0.079038
                  30,            0.068243,             0.10433,            0.040388,             0.95305,             0.16667,             0.23967,            0.098224,            0.068947,            0.051215,            0.046826,            0.043288,           0.0042883,           0.0042883,             0.13059,            0.055574,             0.32377,                   0,            0.045777,            0.033633,             0.20947,             0.14933,             0.90489,                   0,            0.095287,            0.079038
                  31,            0.066847,             0.09366,            0.038955,             0.95386,             0.16667,             0.27779,            0.089476,             0.06996,            0.049489,            0.046951,            0.041367,           0.0043665,           0.0043665,            0.025742,              0.1001,             0.29894,                   0,            0.039375,            0.072695,            0.093374,             0.28111,             0.93819,                   0,             0.13015,             0.22391
                  32,            0.065277,             0.10898,            0.041813,             0.94025,             0.13265,             0.24067,            0.070119,            0.061779,            0.052669,            0.046681,            0.039441,           0.0044408,           0.0044408,             0.10662,            0.090078,              0.1471,                   0,            0.034858,            0.042059,             0.27628,              0.2893,             0.66051,                   0,             0.10808,             0.10987
                  33,            0.065789,            0.090421,            0.039319,             0.94025,             0.13265,             0.24067,            0.070119,            0.061779,            0.052669,            0.046681,            0.037511,           0.0045111,           0.0045111,             0.10662,            0.090078,              0.1471,                   0,            0.034858,            0.042059,             0.27628,              0.2893,             0.66051,                   0,             0.10808,             0.10987
                  34,            0.071001,            0.096843,             0.03914,             0.94554,             0.15646,             0.22819,            0.062425,             0.06424,            0.055948,            0.046084,            0.035577,           0.0045775,           0.0045775,            0.010458,             0.12358,             0.18744,                   0,            0.013105,            0.039964,            0.018153,             0.33634,             0.79343,                   0,              0.0486,             0.17263
                  35,            0.071542,             0.10915,            0.039149,             0.96337,             0.16667,             0.39238,             0.14768,             0.07353,            0.048165,            0.045212,             0.03364,           0.0046399,           0.0046399,             0.23815,             0.11387,             0.34213,                   0,             0.05421,             0.13771,              0.4975,             0.33428,             0.93354,                   0,             0.25666,              0.3323
                  36,              0.0652,            0.080927,            0.037139,             0.96337,             0.16667,             0.39238,             0.14768,             0.07353,            0.048165,            0.045212,            0.031698,           0.0046983,           0.0046983,             0.23815,             0.11387,             0.34213,                   0,             0.05421,             0.13771,              0.4975,             0.33428,             0.93354,                   0,             0.25666,              0.3323
                  37,            0.064639,            0.080691,            0.040502,              0.9573,             0.16667,             0.26632,            0.087633,            0.056846,            0.048914,            0.044512,            0.029753,           0.0047528,           0.0047528,             0.05578,             0.13263,             0.27749,                   0,            0.017067,            0.042833,             0.36182,             0.25062,             0.85063,                   0,            0.051534,            0.083294
                  38,            0.068998,            0.086714,            0.038583,             0.65906,             0.43939,             0.34437,             0.15164,            0.057116,             0.04469,            0.044215,            0.027803,           0.0048033,           0.0048033,             0.18266,             0.49972,             0.15731,                   0,            0.041185,            0.028982,             0.40262,             0.72861,             0.76454,                   0,             0.12024,            0.050218
                  39,            0.061544,            0.082865,            0.042821,             0.65906,             0.43939,             0.34437,             0.15164,            0.057116,             0.04469,            0.044215,             0.02585,           0.0048498,           0.0048498,             0.18266,             0.49972,             0.15731,                   0,            0.041185,            0.028982,             0.40262,             0.72861,             0.76454,                   0,             0.12024,            0.050218
                  40,            0.066859,            0.094409,            0.037166,             0.69674,               0.375,             0.19993,            0.056947,            0.068073,            0.043738,            0.043945,            0.023892,           0.0048924,           0.0048924,            0.021166,             0.20124,            0.079639,                   0,            0.019321,            0.020323,             0.16415,             0.58752,             0.35915,                   0,            0.040997,            0.047741
                  41,            0.070853,            0.089041,            0.038067,             0.73328,             0.29167,             0.37642,             0.16244,            0.058111,            0.040453,            0.043635,            0.021931,            0.004931,            0.004931,             0.16901,             0.29912,              0.4331,                   0,             0.04543,             0.02796,                0.37,             0.76044,             0.95723,                   0,             0.11739,            0.053471
                  42,            0.067188,            0.099318,            0.040233,             0.73328,             0.29167,             0.37642,             0.16244,            0.058111,            0.040453,            0.043635,            0.019966,           0.0049657,           0.0049657,             0.16901,             0.29912,              0.4331,                   0,             0.04543,             0.02796,                0.37,             0.76044,             0.95723,                   0,             0.11739,            0.053471
                  43,             0.06439,            0.081069,            0.035681,             0.74901,             0.29022,             0.33582,             0.10843,            0.063632,            0.040058,            0.042822,            0.017996,           0.0049964,           0.0049964,             0.18183,             0.21116,             0.19915,                   0,            0.018705,            0.039738,             0.27726,             0.63153,             0.97163,                   0,            0.043081,            0.091428
                  44,            0.065408,            0.082571,            0.038794,             0.74901,             0.29022,             0.33582,             0.10843,            0.063632,            0.040058,            0.042822,            0.016023,           0.0050232,           0.0050232,             0.18183,             0.21116,             0.19915,                   0,            0.018705,            0.039738,             0.27726,             0.63153,             0.97163,                   0,            0.043081,            0.091428
                  45,            0.066518,            0.076631,            0.040557,             0.70489,              0.2876,             0.20907,            0.092491,            0.057898,            0.040524,             0.04216,            0.014046,            0.005046,            0.005046,            0.032576,             0.35676,             0.11807,                   0,             0.02303,            0.024506,             0.20145,             0.66458,             0.23431,                   0,            0.095288,            0.058781
