               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/Bishop_mAP,    metrics/King_mAP,    metrics/Pawn_mAP,    metrics/Rook_mAP,  metrics/Knight_mAP,   metrics/Queen_mAP,metrics/Bishop_mAP_50, metrics/King_mAP_50, metrics/Pawn_mAP_50, metrics/Rook_mAP_50,metrics/Knight_mAP_50,metrics/Queen_mAP_50
                   0,            0.044907,            0.071145,            0.039877,             0.88258,             0.44915,             0.65408,             0.43004,             0.03611,            0.037505,            0.036293,              0.0991,              0.0001,              0.0001,             0.71487,             0.54845,              0.6319,             0.43303,             0.20624,            0.045754,               0.995,              0.9376,               0.995,             0.56551,             0.34281,             0.08857
                   1,            0.036985,            0.061379,            0.037262,             0.92871,             0.43641,             0.65002,             0.43867,             0.03054,             0.03623,             0.03625,            0.097297,           0.0002973,           0.0002973,              0.7153,             0.53935,             0.66549,             0.43327,             0.21505,            0.063556,               0.995,              0.9275,               0.995,             0.53667,             0.35525,            0.090679
                   2,             0.03413,            0.082034,            0.032152,             0.91322,             0.43145,             0.64162,             0.42052,            0.029051,            0.035425,            0.036227,            0.095491,            0.000491,            0.000491,             0.66995,             0.50087,             0.71575,             0.36289,             0.20671,            0.066963,               0.995,             0.92621,               0.995,             0.47286,             0.37578,            0.084904
                   3,            0.032172,            0.069706,            0.033955,             0.93695,             0.43832,             0.62298,             0.41276,            0.027344,            0.031999,            0.036176,            0.093681,           0.0006811,           0.0006811,             0.68855,             0.50743,             0.69542,             0.28619,             0.23846,            0.060536,               0.995,             0.90917,               0.995,             0.36515,             0.38561,            0.087939
                   4,            0.033712,            0.062376,            0.034865,             0.92525,             0.41238,             0.60685,             0.40815,             0.02734,            0.031601,            0.036092,            0.091868,           0.0008676,           0.0008676,             0.65866,             0.58287,             0.65472,             0.22271,             0.25584,             0.07413,               0.945,             0.91491,               0.995,             0.29148,             0.39035,             0.10436
                   5,            0.031286,            0.067738,            0.034271,             0.89282,             0.41448,             0.60138,             0.43162,            0.027308,            0.030961,            0.036044,            0.090051,           0.0010505,           0.0010505,             0.73319,             0.61655,             0.69459,             0.13775,              0.3401,            0.067513,             0.91167,             0.96258,              0.9946,             0.17714,              0.4585,              0.1038
                   6,            0.039228,            0.081612,            0.033131,             0.94088,             0.45028,             0.62204,             0.41971,            0.030685,            0.031574,            0.036109,             0.08823,           0.0012298,           0.0012298,             0.72692,             0.65405,             0.67071,             0.11779,             0.28577,            0.063019,               0.995,             0.97326,               0.995,             0.17064,             0.46434,               0.134
                   7,            0.036735,            0.069961,            0.035386,             0.91223,             0.44804,             0.59921,             0.39033,            0.036244,              0.0352,            0.036031,            0.086406,           0.0014055,           0.0014055,             0.59892,             0.63954,             0.67364,             0.10983,             0.28284,            0.037193,               0.995,             0.97966,             0.98213,             0.13729,             0.42917,            0.072006
                   8,            0.039367,            0.075831,            0.034094,             0.95675,             0.45173,             0.61424,              0.4296,            0.026448,             0.02882,            0.035938,            0.084578,           0.0015776,           0.0015776,             0.75814,              0.6803,             0.69517,             0.11808,             0.26038,            0.065547,               0.995,             0.98543,               0.995,             0.16802,             0.44419,            0.097803
                   9,            0.033298,             0.05967,            0.032253,             0.92483,             0.43561,             0.60058,              0.3835,            0.040465,             0.03516,            0.035961,            0.082746,           0.0017461,           0.0017461,             0.71059,             0.64314,             0.55713,             0.09555,             0.24867,            0.045907,               0.945,             0.98935,               0.995,             0.14616,              0.4242,             0.10376
